month,n,wr,R,pf,dd,tp,sl,time_,longs,shorts,hold_h
2026-01,18,66.67,6.82,2.38,2.09,12,4,2,11,7,0.7
2026-02,17,58.82,2.77,1.39,3.03,10,7,0,7,10,0.2
2026-03,18,77.78,9.79,3.42,1.02,14,4,0,12,6,0.2
2026-04,16,68.75,4.31,1.85,3.81,9,5,2,8,8,0.6
2026-05,18,77.78,9.71,3.39,2.03,14,4,0,9,9,0.5
2026-06,18,72.22,7.69,2.51,1.05,13,5,0,9,9,0.7
2026-07,17,70.59,7.21,2.59,2.04,12,4,1,11,6,0.6
2026-08,13,76.92,6.75,3.21,1.02,10,3,0,5,8,0.0
