month,n,wr,R,pf,dd,tp,sl,time_,longs,shorts,hold_h
2026-01,18,77.78,1.76,1.37,2.87,14,4,0,6,12,0.6
2026-02,18,77.78,3.11,1.83,2.44,14,3,1,11,7,1.2
2026-03,18,77.78,3.28,1.72,1.77,14,4,0,11,7,1.2
2026-04,17,70.59,-0.83,0.87,3.06,12,5,0,11,6,0.6
2026-05,16,68.75,-1.45,0.77,4.94,11,5,0,12,4,0.4
2026-06,16,81.25,2.17,1.55,1.37,13,3,0,10,6,0.2
2026-07,17,58.82,-4.95,0.46,6.26,10,7,0,6,11,0.5
2026-08,12,75.0,-0.85,0.8,2.47,9,3,0,5,7,0.3
