month,n,wr,R,pf,dd,tp,sl,time_,longs,shorts,hold_h
2026-01,17,70.59,-0.08,0.99,1.29,12,5,0,9,8,0.2
2026-02,19,84.21,4.56,2.31,1.31,16,3,0,10,9,0.6
2026-03,16,87.5,6.03,3.74,1.08,14,2,0,10,6,0.6
2026-04,15,86.67,3.85,2.61,2.39,13,2,0,9,6,0.4
2026-05,17,70.59,-1.09,0.83,3.53,12,5,0,12,5,0.4
2026-06,14,71.43,-0.65,0.88,1.32,10,4,0,8,6,0.4
2026-07,17,70.59,-1.25,0.81,2.6,12,5,0,4,13,0.8
2026-08,10,80.0,1.22,1.68,1.26,8,1,1,3,7,0.8
