month,n,wr,R,pf,dd,tp,sl,time_,longs,shorts,hold_h
2026-01,16,62.5,2.83,1.51,2.58,10,4,2,9,7,0.4
2026-02,13,53.85,-1.32,0.81,4.27,7,6,0,7,6,0.3
2026-03,17,76.47,8.79,4.18,1.13,13,2,2,10,7,0.4
2026-04,15,66.67,4.44,2.36,1.89,9,2,4,5,10,0.7
2026-05,14,71.43,3.54,1.74,1.6,10,4,0,7,7,0.6
2026-06,13,76.92,3.72,2.05,1.23,8,3,2,7,6,0.5
2026-07,13,46.15,-2.62,0.61,4.33,5,5,3,10,3,1.2
2026-08,11,72.73,4.12,3.04,1.19,8,1,2,6,5,0.9
