scenario,baseline_R,baseline_15m_adj,stacked_extra_R,stacked_extra_adj,stacked_total_R,stacked_total_adj
cost1x,70.22,-21.84499999999999,101.33999999999999,18.589999999999993,171.56,-3.254999999999999
cost1.5x,24.200000000000003,-113.8975,84.79999999999998,-39.32500000000001,108.99999999999999,-153.2225
cost2x,-21.8,-159.8975,68.27,-55.855000000000004,46.47,-215.7525
