month,n,wr,R,pf,dd,tp,sl,time_,longs,shorts,hold_h
2026-01,17,58.82,3.88,1.76,1.96,3,3,11,9,8,3.9
2026-02,17,58.82,3.92,1.92,1.44,3,3,11,7,10,4.6
2026-03,12,66.67,2.88,2.28,2.24,2,2,8,6,6,4.9
2026-04,13,69.23,4.52,3.04,1.67,3,1,9,10,3,4.5
2026-05,15,46.67,1.02,1.17,2.99,4,3,8,9,6,3.3
2026-06,11,45.45,-1.1,0.79,1.45,2,4,5,5,6,3.5
2026-07,14,92.86,9.95,12.09,0.9,5,0,9,7,7,4.6
2026-08,8,25.0,-2.27,0.43,3.66,1,2,5,5,3,4.6
