inst,book,n,R_naive,wr,pf,dd_naive,R_15m_adj
GOLD,BASE_A,117,35.49,75.21,2.28,2.35,1.3
GOLD,NYJUDAS,135,55.04,71.11,2.45,3.81,18.7
EURUSD,BASE_A,125,12.59,77.6,1.38,6.31,-6.7
EURUSD,NYJUDAS,112,23.5,66.07,1.66,4.33,2.0
GBPUSD,BASE_A,132,2.25,73.48,1.05,7.1,-26.5
GBPUSD,NYTREND,107,22.8,59.81,1.76,3.66,-2.1
USDJPY,BASE_A,125,19.89,75.2,1.57,3.75,10.0
