month,n,wr,R,pf,dd,tp,sl,time_,longs,shorts,hold_h
2026-01,14,64.29,1.53,1.3,1.59,9,5,0,5,9,0.5
2026-02,14,71.43,2.6,1.65,1.01,8,4,2,5,9,1.2
2026-03,16,87.5,9.3,10.08,1.03,14,1,1,5,11,0.9
2026-04,16,75.0,5.44,2.64,1.3,12,3,1,8,8,0.7
2026-05,15,86.67,7.43,4.64,1.02,13,2,0,5,10,0.3
2026-06,14,71.43,3.23,1.79,1.3,10,4,0,11,3,0.6
2026-07,17,64.71,1.44,1.23,2.35,10,6,1,11,6,0.9
2026-08,11,81.82,4.51,3.2,1.32,9,2,0,3,8,0.3
