inst,book,n,R_naive,R_path,R_15m,R_5m,tax_per_trade_naive,tax_per_trade_pathaware
GOLD,BASE_A,36,6.538000000000001,6.537999999999999,-3.9620000000000006,-3.961999999999999,-0.2916666666666667,-0.29166666666666663
GOLD,NYJUDAS,40,19.78,20.643,9.030000000000001,7.024000000000002,-0.3189,-0.34047499999999997
EURUSD,BASE_A,40,0.5370000000000001,-4.712999999999997,-6.963999999999999,-10.463999999999997,-0.27502499999999996,-0.143775
EURUSD,NYJUDAS,36,6.404999999999999,9.728999999999997,-0.48799999999999955,-2.0129999999999995,-0.2338333333333333,-0.3261666666666666
GBPUSD,BASE_A,45,-3.625,-13.409000000000004,-13.409,-22.158999999999995,-0.41186666666666655,-0.19444444444444425
GBPUSD,NYTREND,32,7.693999999999999,12.511999999999999,0.24800000000000016,0.24800000000000016,-0.23268749999999996,-0.38325
USDJPY,BASE_A,39,3.566000000000001,5.726000000000002,0.476000000000002,0.4760000000000011,-0.07923076923076923,-0.13461538461538464
