book,trades,R,pf,wr,dd,months_pos
GOLD_NYJUDAS_v3,103,37.56,2.18,68.93,3.06,8.0
USDJPY_BASE_v3,101,21.28,1.84,77.23,4.91,6.0
COMBINED,138,58.8,,,4.8,
