inst,book,nH,nF,matched,R_hourly,R_15m,delta,med_abs_dR,wrH,wrF,reason_chg
GOLD,BASE_A,36,36,36,6.54,-3.96,-10.5,0.0,69.4,52.8,16.7
GOLD,NYJUDAS,40,40,40,19.78,9.03,-10.75,0.0,75.0,62.5,15.0
EURUSD,BASE_A,41,41,40,0.54,-6.96,-7.5,0.0,75.0,62.5,12.5
EURUSD,NYJUDAS,36,36,36,6.4,-0.49,-6.89,0.0,66.7,55.6,16.7
GBPUSD,BASE_A,45,45,45,-3.62,-13.41,-9.78,0.0,71.1,57.8,13.3
GBPUSD,NYTREND,32,32,32,7.69,0.25,-7.45,0.239,62.5,43.8,25.0
USDJPY,BASE_A,39,39,39,3.57,0.48,-3.09,0.0,74.4,69.2,5.1
