ref_win,ref_off,act_win,mode,trigger,confirm,buf,atr_len,mult,tp,exit_hour,max_hold,weekdays,be_trigger,be_lock,atr_pct,ref_ratio,inst,book,R_naive,n,pf,wr,dd,tax,R_cal
"(6, 13)",0,"(13, 17)",rev,sweep,False,0.25,10,0.75,1.0,18,36,"[0, 1, 2, 3]",0.5,0.0,,,GOLD,GOLD_NYJUDAS_v3,37.56,103,2.18,68.93,3.06,-0.00028125000000001066,37.5
"(19, 22)",1,"(22, 9)",rev,sweep,False,1.25,10,1.0,0.75,6,48,"[0, 1, 2, 3]",,0.0,,,USDJPY,USDJPY_BASE_v3,21.28,101,1.84,77.23,4.91,1.3061447348531253e-17,21.3
