inst,book,cand_count,median_naive,median_cal,R_naive,n,R_cal,R_cal_broker,pf
GOLD,NYJUDAS,115,42.3,22.210181818181812,37.56,103,37.5,36.2,2.18
USDJPY,BASE_A,90,22.725,-4.6913137829912035,19.23,107,18.2,24.5,1.67
GOLD,BASE_A,111,19.2,-12.858148148148146,32.84,98,3.4,2.4,2.12
