inst,book,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
GOLD,baseline,1.56,2.63,9.33,5.48,7.48,3.26,1.5,4.55
EURUSD,baseline,3.18,8.11,6.26,6.97,2.98,2.67,2.95,4.16
GBPUSD,baseline,5.65,6.8,5.92,1.39,2.41,5.93,-0.47,2.93
USDJPY,baseline,4.28,7.08,5.59,3.73,6.75,1.03,2.68,7.36
GOLD,NY-Judas fade,6.82,2.77,9.79,4.31,9.71,7.69,7.2,6.75
EURUSD,NY-Judas fade,2.83,-1.32,8.79,4.44,3.54,3.72,-2.62,4.12
GBPUSD,NY-trend continuation,3.88,3.92,2.88,4.52,1.02,-1.1,9.95,-2.27
